# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 862
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.30774 eV
139     0.000169       0.000000       0.000025       0.000000       0.000194       
168     0.000169       0.000016       0.000000       0.000000       0.000185       
170     0.000025       0.000169       0.000000       0.000000       0.000194       
tot     0.006827       0.000401       0.000342       0.000480       0.994000

Band 55   energy = -3.19960 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000196       0.000004       0.000000       0.000001       0.000201       
19      0.001521       0.000000       0.000000       0.000016       0.001537       
32      0.000289       0.000000       0.000000       0.000000       0.000289       
59      0.000256       0.000000       0.000000       0.000000       0.000256       
201     0.000196       0.000000       0.000000       0.000000       0.000196       
214     0.001764       0.000000       0.000000       0.000004       0.001768       
tot     0.006121       0.000326       0.000397       0.000328       0.994000

Band 56   energy = -3.19957 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000256       0.000000       0.000000       0.000000       0.000256       
17      0.000289       0.000000       0.000001       0.000000       0.000290       
46      0.001024       0.000004       0.000000       0.000004       0.001032       
73      0.000729       0.000000       0.000000       0.000016       0.000745       
158     0.000841       0.000016       0.000000       0.000000       0.000857       
181     0.001225       0.000000       0.000004       0.000000       0.001229       
tot     0.006301       0.000470       0.000334       0.000314       0.994000

Band 57   energy = -3.03213 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000361       0.000025       0.000049       0.000001       0.000436       
46      0.000361       0.000036       0.000004       0.000036       0.000437       
73      0.000361       0.000009       0.000081       0.000004       0.000455       
125     0.002401       0.000009       0.000000       0.000049       0.002459       
