# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.29789 eV
1       0.000144       0.000000       0.000000       0.000000       0.000144       
19      0.000144       0.000000       0.000000       0.000000       0.000144       
31      0.000121       0.000000       0.000000       0.000000       0.000121       
40      0.000121       0.000000       0.000000       0.000000       0.000121       
56      0.000121       0.000000       0.000000       0.000000       0.000121       
196     0.000121       0.000000       0.000000       0.000001       0.000122       
tot     0.004057       0.000093       0.000082       0.000131       0.993000

Band 27   energy = -5.10051 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000225       0.000000       0.000000       0.000000       0.000225       
49      0.000225       0.000000       0.000000       0.000000       0.000225       
74      0.000225       0.000000       0.000000       0.000000       0.000225       
137     0.000256       0.000000       0.000000       0.000001       0.000257       
162     0.000256       0.000000       0.000000       0.000001       0.000257       
210     0.000256       0.000000       0.000000       0.000001       0.000257       
tot     0.004619       0.000133       0.000075       0.000226       0.993000

Band 28   energy = -4.56201 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000225       0.000004       0.000001       0.000004       0.000234       
41      0.000001       0.000169       0.000000       0.000000       0.000170       
44      0.000225       0.000000       0.000000       0.000016       0.000241       
69      0.000225       0.000004       0.000000       0.000009       0.000238       
175     0.000169       0.000000       0.000004       0.000000       0.000173       
215     0.003249       0.000000       0.000000       0.000000       0.003249       
tot     0.007061       0.000416       0.000414       0.000330       0.993000

Band 29   energy = -4.24804 eV
atom    s              p_x            p_y            p_z            tot            
59      0.000081       0.000000       0.000000       0.000000       0.000081       
62      0.000081       0.000000       0.000000       0.000000       0.000081       
68      0.000144       0.000000       0.000000       0.000000       0.000144       
121     0.000100       0.000000       0.000000       0.000000       0.000100       
164     0.000100       0.000000       0.000000       0.000000       0.000100       
200     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003122       0.000225       0.000225       0.000230       0.992000

Band 30   energy = -4.24804 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000081       0.000000       0.000000       0.000001       0.000082       
17      0.000064       0.000000       0.000000       0.000001       0.000065       
41      0.000081       0.000000       0.000001       0.000000       0.000082       
112     0.000064       0.000000       0.000000       0.000001       0.000065       
123     0.000064       0.000000       0.000000       0.000000       0.000064       
147     0.000049       0.000000       0.000000       0.000004       0.000053       
tot     0.003080       0.000202       0.000219       0.000068       0.992000

Band 31   energy = -4.23327 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000081       0.000000       0.000001       0.000000       0.000082       
17      0.000081       0.000000       0.000000       0.000000       0.000081       
24      0.000081       0.000000       0.000000       0.000000       0.000081       
36      0.000100       0.000000       0.000000       0.000000       0.000100       
58      0.000100       0.000000       0.000000       0.000000       0.000100       
165     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.003085       0.000095       0.000100       0.000560       0.993000

Band 32   energy = -4.23326 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000144       0.000000       0.000000       0.000000       0.000144       
39      0.000121       0.000000       0.000000       0.000000       0.000121       
70      0.000121       0.000000       0.000000       0.000000       0.000121       
129     0.000121       0.000000       0.000000       0.000000       0.000121       
166     0.000100       0.000000       0.000000       0.000000       0.000100       
201     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.003083       0.000388       0.000305       0.000029       0.993000

Band 33   energy = -4.11971 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000324       0.000000       0.000000       0.000000       0.000324       
49      0.000324       0.000000       0.000000       0.000000       0.000324       
74      0.000324       0.000000       0.000000       0.000000       0.000324       
145     0.000196       0.000000       0.000000       0.000000       0.000196       
176     0.000196       0.000000       0.000000       0.000000       0.000196       
188     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.003600       0.000256       0.000231       0.000214       0.993000

Band 34   energy = -3.89295 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000121       0.000000       0.000000       0.000000       0.000121       
30      0.000121       0.000000       0.000000       0.000000       0.000121       
159     0.000625       0.000000       0.000000       0.000000       0.000625       
184     0.000625       0.000000       0.000000       0.000000       0.000625       
205     0.000625       0.000000       0.000000       0.000000       0.000625       
215     0.001444       0.000000       0.000000       0.000000       0.001444       
tot     0.005557       0.000296       0.000322       0.000224       0.993000

Band 35   energy = -3.40160 eV
atom    s              p_x            p_y            p_z            tot            
