# EIG file: diamond.EIG   fdf file: diamond_scf.fdf
# Fermi energy (eV): -6.070552
# ElectronicTemperature: 0.025852 eV   OccupationFunction: FD   OccupationMPOrder: 1   degeneracy: 2.0
# k-index  spin  band  eigenvalue(eV)  occupation
    28     1     21       85.314271    0.000000
    28     1     22       90.324684    0.000000
    28     1     23      106.767518    0.000000
    28     1     24      112.905431    0.000000
    28     1     25      128.588489    0.000000
    28     1     26      160.145962    0.000000
    29     1      1      -27.138042    2.000000
    29     1      2      -12.992907    2.000000
    29     1      3       -9.896951    2.000000
    29     1      4       -9.107953    2.000000
    29     1      5       -0.928116    0.000000
    29     1      6        1.142092    0.000000
    29     1      7        1.198300    0.000000
    29     1      8        6.534356    0.000000
    29     1      9       14.839850    0.000000
    29     1     10       15.807188    0.000000
    29     1     11       19.340459    0.000000
    29     1     12       24.137062    0.000000
    29     1     13       36.224421    0.000000
    29     1     14       38.866133    0.000000
    29     1     15       40.932307    0.000000
    29     1     16       41.303429    0.000000
    29     1     17       48.284815    0.000000
    29     1     18       64.165750    0.000000
    29     1     19       67.319445    0.000000
    29     1     20       76.564053    0.000000
    29     1     21       87.246078    0.000000
    29     1     22       94.265033    0.000000
    29     1     23       99.018000    0.000000
    29     1     24      104.610570    0.000000
    29     1     25      122.638967    0.000000
    29     1     26      198.026981    0.000000
    30     1      1      -26.950824    2.000000
    30     1      2      -13.981343    2.000000
    30     1      3       -9.230001    2.000000
    30     1      4       -9.229946    2.000000
    30     1      5        0.267753    0.000000
    30     1      6        0.267797    0.000000
    30     1      7        0.653229    0.000000
    30     1      8        7.161583    0.000000
    30     1      9       15.605274    0.000000
    30     1     10       17.099154    0.000000
    30     1     11       17.099154    0.000000
    30     1     12       22.454023    0.000000
    30     1     13       37.226195    0.000000
    30     1     14       37.226211    0.000000
    30     1     15       42.590930    0.000000
    30     1     16       42.590941    0.000000
    30     1     17       48.870636    0.000000
    30     1     18       69.422697    0.000000
    30     1     19       70.591544    0.000000
    30     1     20       70.591581    0.000000
    30     1     21       89.217296    0.000000
