# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 864
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.38031 eV
157     0.000169       0.000004       0.000000       0.000000       0.000173       
206     0.000400       0.000000       0.000000       0.000000       0.000400       
tot     0.004353       0.000301       0.000235       0.000307       0.994000

Band 45   energy = -3.40695 eV
atom    s              p_x            p_y            p_z            tot            
53      0.000289       0.000001       0.000000       0.000000       0.000290       
63      0.000256       0.000000       0.000000       0.000000       0.000256       
126     0.000289       0.000000       0.000004       0.000000       0.000293       
143     0.000400       0.000000       0.000000       0.000000       0.000400       
193     0.000169       0.000004       0.000000       0.000000       0.000173       
195     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004339       0.000209       0.000249       0.000453       0.994000

Band 46   energy = -3.40230 eV
atom    s              p_x            p_y            p_z            tot            
109     0.000144       0.000000       0.000000       0.000000       0.000144       
111     0.000144       0.000000       0.000000       0.000000       0.000144       
119     0.000144       0.000001       0.000000       0.000000       0.000145       
122     0.000144       0.000000       0.000004       0.000000       0.000148       
130     0.000144       0.000001       0.000000       0.000000       0.000145       
132     0.000144       0.000000       0.000004       0.000000       0.000148       
tot     0.004422       0.000307       0.000278       0.000380       0.994000

Band 47   energy = -3.38500 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000324       0.000000       0.000000       0.000025       0.000349       
20      0.000144       0.000000       0.000000       0.000000       0.000144       
86      0.000400       0.000000       0.000000       0.000000       0.000400       
107     0.000576       0.000000       0.000000       0.000000       0.000576       
124     0.000196       0.000000       0.000000       0.000001       0.000197       
188     0.000289       0.000000       0.000000       0.000009       0.000298       
tot     0.004055       0.000162       0.000122       0.000562       0.994000

Band 48   energy = -3.38497 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000169       0.000009       0.000000       0.000000       0.000178       
69      0.000169       0.000000       0.000009       0.000000       0.000178       
84      0.000324       0.000000       0.000000       0.000000       0.000324       
88      0.000324       0.000000       0.000000       0.000000       0.000324       
95      0.000225       0.000000       0.000000       0.000000       0.000225       
97      0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004032       0.000315       0.000301       0.000176       0.994000

Band 49   energy = -3.32969 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000324       0.000004       0.000000       0.000000       0.000328       
4       0.000324       0.000000       0.000004       0.000001       0.000329       
43      0.000324       0.000000       0.000009       0.000000       0.000333       
53      0.000324       0.000000       0.000001       0.000004       0.000329       
66      0.000324       0.000009       0.000000       0.000000       0.000333       
78      0.000324       0.000000       0.000000       0.000009       0.000333       
tot     0.005858       0.000466       0.000511       0.000256       0.994000

Band 50   energy = -3.32693 eV
atom    s              p_x            p_y            p_z            tot            
88      0.000169       0.000004       0.000009       0.000004       0.000186       
101     0.000484       0.000001       0.000000       0.000004       0.000489       
105     0.000324       0.000000       0.000000       0.000004       0.000328       
158     0.000196       0.000000       0.000004       0.000000       0.000200       
172     0.000196       0.000009       0.000000       0.000009       0.000214       
208     0.000144       0.000036       0.000004       0.000000       0.000184       
tot     0.004047       0.000295       0.000321       0.000162       0.994000

Band 51   energy = -3.32691 eV
atom    s              p_x            p_y            p_z            tot            
82      0.000729       0.000004       0.000004       0.000000       0.000737       
107     0.000256       0.000000       0.000000       0.000036       0.000292       
124     0.000196       0.000000       0.000000       0.000004       0.000200       
152     0.000225       0.000025       0.000009       0.000000       0.000259       
179     0.000256       0.000004       0.000009       0.000004       0.000273       
214     0.000289       0.000000       0.000000       0.000004       0.000293       
tot     0.004149       0.000161       0.000152       0.000476       0.994000

Band 52   energy = -3.30783 eV
atom    s              p_x            p_y            p_z            tot            
90      0.000784       0.000000       0.000000       0.000000       0.000784       
99      0.003481       0.000001       0.000000       0.000016       0.003498       
125     0.001521       0.000009       0.000001       0.000049       0.001580       
143     0.000016       0.000000       0.000144       0.000004       0.000164       
170     0.000016       0.000196       0.000000       0.000000       0.000212       
206     0.000016       0.000000       0.000001       0.000169       0.000186       
tot     0.007854       0.000440       0.000337       0.000581       0.994000

Band 53   energy = -3.30547 eV
atom    s              p_x            p_y            p_z            tot            
73      0.000225       0.000000       0.000001       0.000001       0.000227       
74      0.000196       0.000000       0.000000       0.000000       0.000196       
101     0.000225       0.000000       0.000000       0.000025       0.000250       
105     0.000196       0.000000       0.000000       0.000025       0.000221       
127     0.000784       0.000000       0.000000       0.000001       0.000785       
131     0.000676       0.000000       0.000000       0.000004       0.000680       
tot     0.004887       0.000171       0.000183       0.000473       0.994000

Band 54   energy = -3.30546 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000324       0.000000       0.000000       0.000000       0.000324       
19      0.000361       0.000001       0.000004       0.000000       0.000366       
82      0.000400       0.000004       0.000001       0.000009       0.000414       
86      0.000169       0.000001       0.000001       0.000000       0.000171       
108     0.001296       0.000001       0.000000       0.000000       0.001297       
192     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.004900       0.000426       0.000416       0.000073       0.994000

Band 55   energy = -3.21264 eV
atom    s              p_x            p_y            p_z            tot            
46      0.000841       0.000000       0.000000       0.000009       0.000850       
52      0.000144       0.000000       0.000000       0.000025       0.000169       
73      0.000900       0.000000       0.000000       0.000016       0.000916       
75      0.000144       0.000000       0.000000       0.000025       0.000169       
158     0.000961       0.000009       0.000000       0.000000       0.000970       
181     0.000900       0.000000       0.000009       0.000000       0.000909       
tot     0.005946       0.000323       0.000320       0.000338       0.994000

Band 56   energy = -3.21263 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000256       0.000004       0.000001       0.000001       0.000262       
19      0.001600       0.000000       0.000000       0.000009       0.001609       
59      0.000121       0.000000       0.000000       0.000000       0.000121       
181     0.000121       0.000000       0.000009       0.000009       0.000139       
205     0.000289       0.000000       0.000000       0.000000       0.000289       
214     0.001681       0.000000       0.000000       0.000009       0.001690       
tot     0.006067       0.000348       0.000377       0.000281       0.994000

Band 57   energy = -3.09887 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000324       0.000025       0.000049       0.000004       0.000402       
46      0.000324       0.000049       0.000004       0.000025       0.000402       
73      0.000324       0.000009       0.000100       0.000001       0.000434       
90      0.000064       0.000000       0.000000       0.000004       0.000068       
