# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 861
# natomwfc = 864
# n_atoms  = 216

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.14458 eV
Band 47   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
4       0.000324       0.000000       0.000000       0.000000       0.000324       
9       0.000196       0.000009       0.000001       0.000000       0.000206       
43      0.000400       0.000000       0.000000       0.000000       0.000400       
87      0.000256       0.000009       0.000009       0.000000       0.000274       
159     0.000625       0.000001       0.000004       0.000000       0.000630       
172     0.000529       0.000004       0.000000       0.000000       0.000533       
tot     0.004641       0.000407       0.000153       0.000358       0.994000

Band 48   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
23      0.000196       0.000000       0.000000       0.000000       0.000196       
62      0.000196       0.000001       0.000000       0.000000       0.000197       
66      0.000196       0.000001       0.000004       0.000000       0.000201       
68      0.000484       0.000004       0.000000       0.000000       0.000488       
120     0.000289       0.000000       0.000000       0.000000       0.000289       
127     0.000361       0.000000       0.000000       0.000000       0.000361       
tot     0.004149       0.000498       0.000082       0.000333       0.994000

Band 49   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
29      0.000196       0.000000       0.000000       0.000001       0.000197       
41      0.000225       0.000000       0.000000       0.000000       0.000225       
51      0.000196       0.000000       0.000000       0.000000       0.000196       
137     0.000225       0.000000       0.000000       0.000000       0.000225       
169     0.000196       0.000000       0.000000       0.000000       0.000196       
212     0.000169       0.000000       0.000001       0.000000       0.000170       
tot     0.003663       0.000472       0.000159       0.000165       0.994000

Band 50   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000361       0.000009       0.000000       0.000000       0.000370       
95      0.000225       0.000000       0.000000       0.000000       0.000225       
114     0.000225       0.000000       0.000000       0.000000       0.000225       
150     0.000196       0.000009       0.000000       0.000000       0.000205       
196     0.000324       0.000000       0.000000       0.000004       0.000328       
202     0.000576       0.000000       0.000000       0.000000       0.000576       
tot     0.004238       0.000488       0.000162       0.000251       0.994000

Band 51   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
24      0.000625       0.000004       0.000000       0.000004       0.000633       
39      0.000256       0.000000       0.000000       0.000000       0.000256       
51      0.000144       0.000004       0.000000       0.000001       0.000149       
55      0.000576       0.000000       0.000004       0.000016       0.000596       
132     0.000361       0.000000       0.000025       0.000009       0.000395       
142     0.000784       0.000009       0.000000       0.000004       0.000797       
tot     0.004756       0.000192       0.000343       0.000386       0.994000

Band 52   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
28      0.000441       0.000000       0.000000       0.000000       0.000441       
49      0.000441       0.000000       0.000000       0.000000       0.000441       
95      0.000324       0.000000       0.000000       0.000000       0.000324       
179     0.000256       0.000001       0.000000       0.000000       0.000257       
192     0.000225       0.000009       0.000004       0.000000       0.000238       
199     0.000400       0.000004       0.000000       0.000000       0.000404       
tot     0.004594       0.000652       0.000189       0.000231       0.994000

Band 53   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
70      0.000256       0.000000       0.000000       0.000000       0.000256       
78      0.000400       0.000000       0.000000       0.000000       0.000400       
82      0.000256       0.000000       0.000004       0.000000       0.000260       
93      0.000144       0.000000       0.000004       0.000001       0.000149       
134     0.000400       0.000000       0.000000       0.000000       0.000400       
210     0.000121       0.000009       0.000000       0.000000       0.000130       
tot     0.003778       0.000225       0.000409       0.000169       0.994000

Band 54   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
25      0.000289       0.000001       0.000000       0.000000       0.000290       
74      0.000324       0.000000       0.000004       0.000000       0.000328       
101     0.000225       0.000000       0.000004       0.000000       0.000229       
110     0.000400       0.000000       0.000000       0.000000       0.000400       
115     0.000484       0.000000       0.000000       0.000000       0.000484       
121     0.000324       0.000000       0.000004       0.000000       0.000328       
tot     0.004406       0.000429       0.000443       0.000120       0.994000

Band 55   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000289       0.000004       0.000000       0.000000       0.000293       
21      0.000576       0.000000       0.000004       0.000000       0.000580       
87      0.000225       0.000004       0.000000       0.000000       0.000229       
161     0.000576       0.000001       0.000000       0.000000       0.000577       
166     0.000169       0.000000       0.000016       0.000000       0.000185       
186     0.000225       0.000004       0.000000       0.000000       0.000229       
tot     0.004670       0.000245       0.000548       0.000207       0.994000

Band 56   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000441       0.000000       0.000001       0.000001       0.000443       
70      0.000324       0.000000       0.000004       0.000000       0.000328       
103     0.000256       0.000001       0.000001       0.000000       0.000258       
124     0.000289       0.000000       0.000004       0.000000       0.000293       
145     0.000289       0.000004       0.000000       0.000000       0.000293       
188     0.000289       0.000000       0.000009       0.000000       0.000298       
tot     0.004641       0.000222       0.000310       0.000404       0.994000

Band 57   energy = -3.20565 eV
atom    s              p_x            p_y            p_z            tot            
39      0.000441       0.000000       0.000004       0.000000       0.000445       
79      0.000225       0.000001       0.000004       0.000000       0.000230       
167     0.000256       0.000000       0.000000       0.000000       0.000256       
174     0.000289       0.000000       0.000000       0.000000       0.000289       
