# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.24938 eV
59      0.000064       0.000000       0.000000       0.000000       0.000064       
165     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003069       0.000158       0.000153       0.000214       0.993000

Band 33   energy = -4.12688 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000400       0.000000       0.000000       0.000000       0.000400       
49      0.000400       0.000000       0.000000       0.000000       0.000400       
74      0.000400       0.000000       0.000000       0.000000       0.000400       
116     0.000196       0.000000       0.000000       0.000000       0.000196       
145     0.000196       0.000000       0.000000       0.000000       0.000196       
176     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.003808       0.000247       0.000233       0.000235       0.993000

Band 34   energy = -3.84682 eV
atom    s              p_x            p_y            p_z            tot            
68      0.000004       0.000000       0.000121       0.000000       0.000125       
90      0.000144       0.000000       0.000000       0.000009       0.000153       
159     0.000529       0.000000       0.000000       0.000000       0.000529       
184     0.000529       0.000000       0.000000       0.000000       0.000529       
205     0.000529       0.000000       0.000000       0.000000       0.000529       
215     0.002916       0.000000       0.000000       0.000001       0.002917       
tot     0.006525       0.000319       0.000376       0.000215       0.994000

Band 35   energy = -3.37427 eV
atom    s              p_x            p_y            p_z            tot            
62      0.000225       0.000009       0.000000       0.000016       0.000250       
82      0.000400       0.000000       0.000000       0.000000       0.000400       
101     0.001225       0.000000       0.000000       0.000000       0.001225       
138     0.000676       0.000000       0.000016       0.000000       0.000692       
172     0.000121       0.000036       0.000000       0.000000       0.000157       
201     0.000225       0.000000       0.000000       0.000009       0.000234       
tot     0.004879       0.000295       0.000211       0.000497       0.994000

Band 36   energy = -3.37421 eV
atom    s              p_x            p_y            p_z            tot            
33      0.000225       0.000000       0.000001       0.000036       0.000262       
82      0.000324       0.000000       0.000000       0.000000       0.000324       
105     0.001296       0.000000       0.000000       0.000000       0.001296       
149     0.000144       0.000000       0.000049       0.000000       0.000193       
165     0.000729       0.000025       0.000000       0.000000       0.000754       
201     0.000196       0.000000       0.000000       0.000004       0.000200       
tot     0.004880       0.000324       0.000341       0.000332       0.994000

Band 37   energy = -3.34048 eV
atom    s              p_x            p_y            p_z            tot            
41      0.000676       0.000000       0.000000       0.000000       0.000676       
52      0.000196       0.000000       0.000000       0.000009       0.000205       
97      0.000081       0.000000       0.000000       0.000025       0.000106       
123     0.000676       0.000000       0.000000       0.000000       0.000676       
173     0.000289       0.000000       0.000000       0.000004       0.000293       
187     0.000676       0.000001       0.000000       0.000000       0.000677       
tot     0.004650       0.000358       0.000210       0.000372       0.994000

Band 38   energy = -3.34048 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000400       0.000001       0.000000       0.000000       0.000401       
68      0.000361       0.000004       0.000000       0.000000       0.000365       
112     0.000400       0.000000       0.000000       0.000000       0.000400       
121     0.000400       0.000000       0.000000       0.000000       0.000400       
160     0.000361       0.000000       0.000001       0.000000       0.000362       
196     0.000400       0.000000       0.000000       0.000000       0.000400       
tot     0.004775       0.000323       0.000524       0.000140       0.994000

Band 39   energy = -3.31263 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000225       0.000000       0.000001       0.000000       0.000226       
61      0.000144       0.000000       0.000009       0.000000       0.000153       
62      0.000400       0.000000       0.000004       0.000000       0.000404       
108     0.000361       0.000000       0.000000       0.000000       0.000361       
115     0.000225       0.000000       0.000004       0.000000       0.000229       
127     0.000676       0.000000       0.000000       0.000000       0.000676       
tot     0.004407       0.000408       0.000278       0.000213       0.994000

Band 40   energy = -3.31260 eV
atom    s              p_x            p_y            p_z            tot            
25      0.000144       0.000000       0.000000       0.000016       0.000160       
30      0.000196       0.000009       0.000000       0.000000       0.000205       
33      0.000529       0.000004       0.000000       0.000000       0.000533       
46      0.000169       0.000000       0.000000       0.000000       0.000169       
113     0.000324       0.000004       0.000000       0.000000       0.000328       
131     0.000841       0.000000       0.000000       0.000000       0.000841       
tot     0.004353       0.000161       0.000224       0.000483       0.994000

Band 41   energy = -3.30286 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000324       0.000000       0.000001       0.000000       0.000325       
8       0.000324       0.000000       0.000000       0.000004       0.000328       
35      0.000324       0.000001       0.000004       0.000000       0.000329       
