# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 863
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.33528 eV
179     0.000169       0.000004       0.000016       0.000009       0.000198       
tot     0.004064       0.000147       0.000192       0.000526       0.994000

Band 51   energy = -3.30924 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000289       0.000004       0.000000       0.000000       0.000293       
4       0.000289       0.000000       0.000004       0.000001       0.000294       
43      0.000289       0.000000       0.000004       0.000000       0.000293       
53      0.000289       0.000000       0.000000       0.000004       0.000293       
66      0.000289       0.000004       0.000000       0.000000       0.000293       
78      0.000289       0.000000       0.000000       0.000009       0.000298       
tot     0.005656       0.000457       0.000540       0.000251       0.994000

Band 52   energy = -3.29209 eV
atom    s              p_x            p_y            p_z            tot            
46      0.000256       0.000000       0.000000       0.000004       0.000260       
49      0.000225       0.000000       0.000000       0.000000       0.000225       
105     0.000256       0.000000       0.000000       0.000036       0.000292       
127     0.000196       0.000000       0.000000       0.000000       0.000196       
131     0.001296       0.000000       0.000000       0.000004       0.001300       
168     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.004803       0.000132       0.000289       0.000501       0.994000

Band 53   energy = -3.29207 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000169       0.000000       0.000000       0.000000       0.000169       
19      0.000196       0.000004       0.000000       0.000000       0.000200       
82      0.000196       0.000016       0.000000       0.000004       0.000216       
108     0.000961       0.000000       0.000000       0.000000       0.000961       
127     0.000529       0.000000       0.000000       0.000000       0.000529       
192     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004792       0.000583       0.000332       0.000086       0.994000

Band 54   energy = -3.28315 eV
atom    s              p_x            p_y            p_z            tot            
90      0.000676       0.000000       0.000000       0.000000       0.000676       
99      0.002809       0.000004       0.000000       0.000016       0.002829       
125     0.001600       0.000009       0.000000       0.000036       0.001645       
143     0.000009       0.000000       0.000121       0.000009       0.000139       
170     0.000009       0.000169       0.000000       0.000000       0.000178       
206     0.000009       0.000000       0.000000       0.000144       0.000153       
tot     0.007124       0.000439       0.000351       0.000550       0.994000

Band 55   energy = -3.20007 eV
atom    s              p_x            p_y            p_z            tot            
46      0.001444       0.000004       0.000000       0.000004       0.001452       
52      0.000289       0.000000       0.000001       0.000009       0.000299       
71      0.000196       0.000000       0.000000       0.000000       0.000196       
181     0.001849       0.000000       0.000000       0.000004       0.001853       
184     0.000169       0.000000       0.000000       0.000000       0.000169       
214     0.000169       0.000016       0.000001       0.000000       0.000186       
tot     0.006094       0.000529       0.000155       0.000387       0.994000

Band 56   energy = -3.20005 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000676       0.000004       0.000000       0.000004       0.000684       
42      0.000225       0.000000       0.000000       0.000000       0.000225       
73      0.000961       0.000004       0.000001       0.000000       0.000966       
75      0.000196       0.000025       0.000000       0.000000       0.000221       
158     0.001225       0.000000       0.000000       0.000016       0.001241       
214     0.000841       0.000000       0.000004       0.000004       0.000849       
tot     0.006104       0.000256       0.000640       0.000203       0.994000

Band 57   energy = -3.06454 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000289       0.000036       0.000049       0.000001       0.000375       
46      0.000289       0.000036       0.000004       0.000036       0.000365       
73      0.000289       0.000009       0.000081       0.000004       0.000383       
90      0.000081       0.000000       0.000000       0.000004       0.000085       
